id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returnedreason,deceasedreason,diedoffshelter,puttosleep,isdoa
885,2017-06-23,Incompatible with owner lifestyle,0,D1706563,981020021075360,Dixie,English Coonhound/Hound,Blue merle,Dog,3.4,Female,Stray Dogs Beta,2017-07-15,Adoption,0.0,Incompatible with owner lifestyle,Court Order/ Legal,0,0,0
886,2017-06-23,Unsuitable Accommodation,0,C1706564,981020021455494,Chairon,Domestic Short Hair,Calico,Cat,2.4,Female,Special Care Cats,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
887,2017-06-23,Incompatible with owner lifestyle,0,D1706564,981020013524875,Darla,Chihuahua/Jack Russell Terrier,White and Tan,Dog,8.4,Female,Adoptable Dogs,2017-07-08,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
888,2017-06-23,Moving,0,D1706565,981020021053250,Ivory,Boxer,White and Brindle,Dog,3.2,Female,Adoptable Dogs,2017-07-01,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
889,2017-06-23,Stray,0,D1706566,981020021075788,Bassey,Weimaraner/Basset Hound,Grey,Dog,1.6,Female,Stray Dogs Alpha,2017-07-13,Adoption,0.0,Incompatible with owner lifestyle,Court Order/ Legal,0,0,0
890,2017-06-23,Incompatible with owner lifestyle,0,D1706567,982000364501284,Ira,Great Pyrenees,White,Dog,6.4,Male,Stray Dogs Beta,2017-07-05,Transfer,0.0,Stray,Court Order/ Legal,0,0,0
891,2017-06-23,Landlord issues,0,D1706569,981020021067952,Toby Glen,Springer Spaniel/Hound,White and Liver,Dog,3.4,Male,Adoptable Dogs,2017-07-08,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
892,2017-06-23,Stray,0,C1706569,981020021043786,Crush,Domestic Short Hair,Orange,Cat,3.8,Male,Adoptable Cat Small Colony,2017-07-08,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
893,2017-06-23,Biting,0,D1706013,981020021066626,Kato,German Shepherd Dog,Black and Brown,Dog,2.9,Male,Adoptable Dogs,2017-07-14,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
894,2017-06-23,Stray,0,D1706570,985121009140595,Charlie,Plott Hound,Black and Brown,Dog,9.3,Male,Adoptable Dogs,2017-07-21,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
895,2017-06-23,Stray,0,D1706571,985112006819113,Olaf,Husky,Black and White,Dog,5.1,Male,Adoptable Dogs,2017-07-08,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
896,2017-06-23,Stray,0,C1706572,981020021038928,Devo,Domestic Short Hair,Grey,Cat,9.6,Male,Stray Cats,2017-07-10,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
897,2017-06-24,Stray,0,C1706573,0A09529847,May,Domestic Short Hair,Black and White,Cat,0.0,Female,Feline Nursery,2017-06-30,Foster,0.0,Stray,Died in care,0,0,0
